CASO 1 = ALEATORIO;;;;;;;;;;;;;;;;;
CASO2 = ORDENADO;;;;;;;;;;;;;;;;;
CASO 3 = REVERSO;;;;;;;;;;;;;;;;;
CASO 4 = QUASE ORDENADO;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
BubbleSort - media de comparações ->;CASO 1;CASO 2 ;CASO 3;CASO 4; ;MEDIA TEMPO MS;CASO 1;CASO 2 ;CASO 3;CASO 4;;;;;;;
1000;499500;999;499500;499500;;1000;2,035;0;2.29;1,54;;;;;;;
5000;12497500;4999;12497500;12497500;;5000;44,43;0,01;47,45;35,2;;;;;;;
8000;31996000;7999;31996000;31996000;;8000;105,71;0,02;127,95;127,94;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
InsertSort - media de comparações ->;CASO 1;CASO 2 ;CASO 3;CASO 4; ;MEDIA TEMPO MS;CASO 1;CASO 2 ;CASO 3;CASO 4;;;;;;;
1000;258400;999;500499;67107;;1000;0,5;0;2.00;1.00;;;;;;;
5000;6241036;4999;12502499;1364907;;5000;13.00;0,01;26.00;3.00;;;;;;;
8000;16043037;7999;32003999;3782377;;8000;36.00;0;68.00;8.00;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Qsort - media de comparações ->;CASO 1;CASO 2 ;CASO 3;CASO 4; ;MEDIA TEMPO MS;CASO 1;CASO 2 ;CASO 3;CASO 4;;;;;;;
1000;30916;88142;145368;192910;;1000;0.00;0.00;0.00;0.00;;;;;;;
5000;421337;782213;1143089;1503965;;5000;0.00;0.00;0.00;0.00;;;;;;;
8000;1994211;2609919;3225627;3841335;;8000;1.00;1.00;1.00;1.00;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
